,brand,nod,location,model,varient,fuel,year,transmission,km,price
1801,Maruti,1st Owner,Hyderabad,Ignis,Alpha,Petrol,2017,Manual,"19,957 Kms","5,73,500"
1802,Maruti,1st Owner,Hyderabad,Swift Dzire,VXI 1.2 BS IV,Petrol,2017,Manual,"38,463 Kms","6,33,500"
1803,Maruti,1st Owner,Hyderabad,Swift,VXI BSIV,Petrol,2019,Manual,"22,988 Kms","6,16,000"
1804,Maruti,1st Owner,Hyderabad,Swift,VXI BSIV,Petrol,2015,Manual,"66,487 Kms","4,45,500"
1805,Renault,1st Owner,Hyderabad,Duster,85PS Diesel RxL,Diesel,2015,Manual,"77,769 Kms","5,53,500"
1806,Maruti,1st Owner,Hyderabad,Wagon R,VXI,Petrol,2018,Manual,"14,890 Kms","4,53,000"
1807,Hyundai,1st Owner,Hyderabad,i20,1.4 Magna Executive,Diesel,2017,Manual,"40,899 Kms","6,08,500"
1809,Maruti,1st Owner,Hyderabad,Swift,AMT VXI,Petrol,2018,Automatic,"45,536 Kms","6,45,000"
1811,Maruti,1st Owner,Hyderabad,Swift Dzire,VXI 1.2 BS IV,Petrol,2017,Manual,"53,411 Kms","6,37,500"
1905,Hyundai,1st Owner,Jaipur,Grand i10 Nios,Sportz,Petrol,2021,Manual,"1,234 Kms","6,40,000"
1906,Mahindra,2nd Owner,Kota,XUV300,W8 Option Diesel BSIV,Diesel,2019,Manual,"41,395 Kms","10,25,778"
1907,Maruti,1st Owner,Alwar,Alto 800,LXI,Petrol,2015,Manual,"50,485 Kms","3,03,512"
1908,Maruti,1st Owner,Kota,Baleno,1.2 Delta,Petrol,2016,Manual,"46,024 Kms","5,67,500"
1909,Maruti,1st Owner,Alwar,Alto 800,LXI,Petrol,2017,Manual,"11,708 Kms","3,43,530"
1910,Maruti,1st Owner,Jaipur,Celerio,ZXI Optional,Petrol,2016,Manual,"14,762 Kms","4,28,022"
1911,Maruti,1st Owner,Jaipur,S-Presso,STD,Petrol,2019,Manual,"1,577 Kms","3,51,000"
1912,Toyota,1st Owner,Jaipur,Etios Liva,GD SP,Diesel,2013,Manual,"103,561 Kms","3,91,000"
1913,Maruti,1st Owner,Jaipur,Vitara Brezza,ZDi Plus,Diesel,2019,Manual,"36,521 Kms","9,77,500"
1914,Hyundai,1st Owner,Jaipur,i20,1.2 Spotz,Petrol,2018,Manual,"17,723 Kms","6,39,588"
1915,Maruti,1st Owner,Jaipur,Ignis,1.2 Delta BSIV,Petrol,2018,Manual,"14,302 Kms","5,07,500"
1916,Maruti,1st Owner,Jaipur,Swift Dzire,VDI,Diesel,2015,Manual,"77,482 Kms","5,59,560"
1917,Skoda,1st Owner,Jaipur,Rapid,1.5 TDI Style BSIV,Diesel,2017,Manual,"71,258 Kms","7,37,805"
1918,Hyundai,1st Owner,Kota,Venue,SX Turbo,Petrol,2020,Manual,"8,364 Kms","10,39,400"
1919,Maruti,1st Owner,Jaipur,Alto K10,VXI,Petrol,2015,Manual,"13,428 Kms","3,53,600"
1920,Hyundai,1st Owner,Jaipur,Grand i10,1.2 Kappa Sportz BSIV,Petrol,2019,Manual,"8,098 Kms","6,12,010"
1921,Hyundai,2nd Owner,Jaipur,Grand i10,CRDi Sportz,Diesel,2016,Manual,"75,923 Kms","4,21,000"
1922,Renault,1st Owner,Jaipur,KWID,1.0,Petrol,2017,Manual,"23,635 Kms","3,31,000"
1923,Renault,1st Owner,Jaipur,KWID,RXT,Petrol,2017,Manual,"34,901 Kms","2,96,000"
